ServiceID,ServiceName,CurrentSellPrice,PricingModel,UnitOfSale,ScopeDefinition,IncludedRevisionsLimits,TriggerToStartWork,CompletionDefinition,OwnerRole,Status,Notes,Genre
45,Web AR/ 3D Modeling,8960,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Video / 3D / Motion Production
47,Landing Page Hosting,0,Fixed Price,Per page,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Software / Spend / Pass-Through / Non-Delivery
48,Landing Pages,0,Fixed Price,Per page,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Development
49,Link Building,0,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,SEO
50,LinkedIn Ad Spend,0,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Software / Spend / Pass-Through / Non-Delivery
54,Project Management,21700,Hourly,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Software / Spend / Pass-Through / Non-Delivery
56,Restore blog content and optimize,0,Hourly,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,SEO
57,Sales,0,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Software / Spend / Pass-Through / Non-Delivery
58,Semantic Intelligence SEO Tool,0,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Software / Spend / Pass-Through / Non-Delivery
64,Services:Installation,71610,Hourly,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Development
66,Testing,0,Hourly,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Development
67,Total Investment,0,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Software / Spend / Pass-Through / Non-Delivery
69,User Experience Design,0,Hourly,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Creative Production
70,User Interface Design,0,Hourly,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Creative Production
72,Website Technical,0,Hourly,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Development
74,Workshop Discovery Session And Site-mapping,0,Fixed Price,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Creative Production
PM-001,Audience Targeting Research,0,Hourly,Per deliverable,Define exactly what is included,e.g. 2 rounds included,e.g. signed brief + assets + deposit,e.g. approved and live / delivered,e.g. Strategist / Media Buyer / Designer,Active,,Paid Media
